id,name,ar,zh,fi,fr,de,it,ko,fa,es,ru,ja,la,tr,el,he,hi,en
PGC 14212,Schuster's Spiral Galaxy,‎مجرة شستر اللولبية‎,舒斯特螺旋星系,NA,Galaxie spirale de Schuster,Schusters Spiralgalaxie,Galassia a Spirale di Schuster,슈스터의 나선 은하,NA,Galaxia Espiral de Schuster,Спиральная галактика Шустера,NA,NA,NA,NA,NA,NA,NA
PGC 14225,Horologium Dwarf Galaxy,‎مجرة الساعة القزمة‎,时钟座矮星系,Heilurikellon kääpiögalaksi,Galaxie naine de l'horologe,Horologium-Zwerggalaxie,Galassia Nana dell'Orologio,시계자리 왜소 은하,NA,Galaxia Enana de Horologium,Карликовая галактика Часов,とけい座矮小銀河,NA,NA,NA,NA,NA,NA
PGC 15172,Carafe Nebula,‎سديم القنينة‎,雕具座星云,NA,Nébuleuse de la Carafe,Karaffen-Nebel,Nebulosa di Carafe,유리병 성운,NA,Nebulosa Carafe,Туманность Графин,カラフェ星雲,NA,NA,NA,NA,NA,NA
PGC 17223,Large Magellanic Cloud,‎‎سحابة ماجلان الكبيرة‎‎,大麦哲伦云,Suuri Magellanin pilvi,Grand Nuage de Magellan,Große Magellanwolke,Grande Nube di Magellano,대마젤란 성운,ابرماژلانی بزرگ,Gran Nube de Magallanes,Большое Магелланово облако,大マゼラン雲,Nubecula Maior,NA,NA,ענן מגלן הגדול,NA,NA
PGC 17716,Orion Dwarf Galaxy,‎‎مجرة الجبار القزمة‎‎,猎户座矮星系,Orionin kääpiögalaksi,Galaxie naine d'Orion,Orion Zwerggalaxie,Galassia Nana di Orione,오리온자리 왜소 은하,NA,Galaxia Enana de Orión,Карликовая галактика Ориона,オリオン座矮小銀河,NA,NA,NA,NA,NA,NA
PGC 19441,Carina Dwarf Galaxy,‎‎مجرة القاعدة القزمة‎‎,船底座矮星系,Kölin kääpiögalaksi,Galaxie naine de la Carène,Carina-Zwerggalaxie,Galassia Nana della Carena,용골자리 왜소 은하,کهکشان کوتوله شاه تخته,Galaxia Enana de Carina,Карликовая галактика Киля,りゅうこつ座矮小銀河,NA,NA,NA,NA,NA,NA
PGC 19481,Southern Ellipse,‎مجرة القطع الناقص الجنوبي‎‎,南椭圆星系,Eteläinen soikio,L'éclipse du Sud,Südliche Ellipse,Ellisse del Sud,남쪽 타원,NA,Elipse del Sur,Южный Эллипс,NA,NA,NA,NA,NA,NA,NA
PGC 20125,Argo Dwarf Irregular Galaxy,‎‎مجرة آرجو القزمة غير المنتظمة‎‎,南船座矮不规则星系,Argon epäsäännöllinen kääpiögalaksi,Galaxie naine irrégulière d'Argo,Argo irreguläre Zwerggalaxie,Galassia Irregolare Nana Argo,아르고자리 왜소 불규칙 은하,NA,Galaxia Irregular Enana de Argo,Неправильная карликовая галактика Арго,アルゴ座矮小不規則銀河,NA,NA,NA,NA,NA,NA
PGC 20348,Integral Sign Galaxy,‎مجرة علامة التفاضل‎,积分号星系,Integraalimerkkigalaksi,Galaxie de l'Intégrale,Integralzeichen-Galaxie,Galassia Segno di Integrale,적분기호 은하,NA,Galaxia Signo Integral,Галактика Знак интеграла,NA,NA,NA,NA,NA,NA,NA
PGC 22641,Phoenix Galaxy,‎مجرة العنقاء‎,凤凰座星系,Feeniksin galaksi,Galaxie du Phénix,Phoenix-Galaxie,Galassia Phoenix,봉황자리 은하,NA,Galaxia Fénix,Галактика Феникса,ほうおう座銀河,Phoenix Galaxia,NA,NA,NA,NA,NA
PGC 23324,Holmberg II,‎‎هولمبرج 2‎‎,霍姆伯格,NA,NA,NA,NA,홈버그 II,NA,NA,Холмберг II,NA,NA,NA,NA,NA,NA,NA
PGC 23521,M81 Dwarf A,‎إم_81 القزمة أي‎,81 矮星系,NA,Naine M81 A,M81 Zwerg A,M81 Nana A,M81 왜소 은하 A,NA,M81 Enana A,M81 карлик A,M81矮小銀河A,NA,NA,NA,NA,NA,NA
PGC 26071,Holmberg III,‎‎هولمبرج 3‎‎,霍姆伯格,NA,NA,NA,NA,홈버그 III,NA,NA,Холмберг III,NA,NA,NA,NA,NA,NA,NA
PGC 26132,Grasshopper A,‎الجرادة أي‎,蝗虫,NA,Sauterelle A,Heuschreck A,Cavalletta A,메뚜기 A,NA,NA,Кузнечик A,NA,NA,NA,NA,NA,NA,NA
PGC 26269,Hydra A,‎أي الشجاع‎,长蛇座,NA,NA,NA,NA,히드라 A,NA,Hidra A,Гидра A,うみへび座A,NA,NA,NA,NA,NA,NA
ACO 780,Hydra A,‎أي الشجاع‎,长蛇座,NA,NA,NA,NA,히드라 A,NA,Hidra A,Гидра A,うみへび座A,NA,NA,NA,NA,NA,NA
PGC 27605,Holmberg I,‎‎هولمبرج 1‎‎,霍姆伯格,NA,NA,NA,NA,홈버그 I,NA,NA,Холмберг I,NA,NA,NA,NA,NA,NA,NA
PGC 28757,Holmberg IX,‎‎هولمبرج 9‎‎,霍姆伯格,NA,NA,NA,NA,홈버그 IX,NA,NA,Холмберг IX,NA,NA,NA,NA,NA,NA,NA
PGC 28759,Arp Loop,‎حلقة آرب‎,环,Arpin silmukka,Boucle de Arp,Arp-Bogen,NA,아르프 환상성운,NA,NA,Петля Арпа,アープ・ループ,NA,NA,NA,NA,NA,NA
PGC 28913,Sextans B,‎‎السدس ب‎‎,六分仪座,NA,NA,NA,NA,육분의자리 B,بتا-سکستان,NA,Секстант B,ろくぶんぎ座B,NA,NA,NA,NA,NA,NA
PGC 29152,Revolver Galaxy,‎مجرة المسدس‎,左轮手枪星系,NA,Galaxie du Revolver,Revolver-Galaxie,Galassia Revolver,리볼버 은하,NA,Galaxia Revolver,Галактика Револьвер,NA,NA,NA,NA,NA,NA,NA
PGC 29194,Antlia Dwarf Galaxy,‎‎مجرة مضخة الهواء القزمة‎‎,唧筒座矮星系,Ilmapumpun kääpiögalaksi,Galaxie naine de la Machine pneumatique,Antlia-Zwerggalaxie,Galassia Nana della Macchina Pneumatica,공기펌프자리 왜소 은하,کهکشان کوچک تلمبه,Galaxia Enana de Antlia,Карликовая галактика Насоса,ポンプ座矮小銀河,NA,NA,NA,NA,NA,NA
PGC 29284,M81 Dwarf B,‎إم_81 القزمة بي‎,81 矮星系,NA,Naine M81 B,M81 Zwerg B,M81 Nana B,M81 왜소 은하 B,NA,M81 Enana B,M81 карлик B,M81矮小銀河B,NA,NA,NA,NA,NA,NA
PGC 29529,Vela Ring Galaxy,‎مجرة حلقة الشراع‎,船帆座环星系,Purjee rengasgalaksi,Galaxie de l'anneau des Voiles,Vela-Ringgalaxie,Galassia Anello della Vela,벨라 고리 은하,NA,Galaxia Anillo de Vela,Кольцеобразная галактика Парусов,NA,NA,NA,NA,NA,NA,NA
PGC 29653,Sextans A,‎‎السدس أ‎‎,六分仪座,NA,NA,NA,NA,육분의자리 A,آلفا-سکستان,NA,Секстант A,ろくぶんぎ座A,NA,NA,NA,NA,NA,NA
PGC 31141,Haro II,‎‎هارو 2‎‎,哈罗,NA,NA,NA,NA,하로 II,NA,NA,Харо II,NA,NA,NA,NA,NA,NA,NA
PGC 31923,Spider Galaxy,‎مجرة العنكبوت‎,蜘蛛星系,NA,Galaxie de l'Araignée,Spinnen-Galaxie,Galassia Ragno,거미 은하,NA,Galaxia Araña,Галактика Паук,NA,NA,NA,NA,NA,NA,NA
PGC 32907,Ant Galaxy,‎مجرة النملة‎,蚂蚁星系,NA,Galaxie de la Fourmi,Ameisen-Galaxie,Galassia Ant,개미 은하,NA,Galaxia de la Hormiga,Галактика Муравей,NA,NA,NA,NA,NA,NA,NA
PGC 33423,Mayall's Object,‎جرم مايول‎,马亚尔天体,NA,Objet de Mayall,Mayalls Objekt,Ogetto di Mayall,메이올의 천체,NA,Objetos de Mayall,Объект Майалла,NA,NA,NA,NA,NA,NA,NA
PGC 34176,Leo II Dwarf Galaxy,‎‎مجرة الأسد القزمة الثانية‎‎,狮子座矮星系,Leo II -kääpiögalaksi,Galaxie naine Leo II,Leo II Zwerggalaxie,Galassia Nana Leo II,사자자리 II 왜소 은하,NA,Galaxia Enana Leo II,Карликовая галактика Лев II,しし座矮小銀河II,NA,NA,NA,NA,NA,NA
PGC 34658,Arp's Galaxy,‎مجرة آرب‎,埃尔普星系,NA,Galaxie de Arp,Arps Galaxie,Galassia di Arp,아프의 은하,NA,Galaxia de Arp,Галактика Арпа,アープの銀河,Galaxia Arpi,NA,NA,NA,NA,NA
PGC 34696,A Flying Bird,‎طائر يطير‎,飞鸟星系,NA,L'Oiseau qui vole,Fliegender Vogel,A Uccello Volante,나는 새,NA,Un Pájaro Volador,Летящая птица,NA,NA,NA,NA,NA,NA,NA
PGC 36723,Wild's Triplet,‎ثلاثية وايلد‎‎,狂野三重星系,Wildin kolmikko,Triplet de Wild,Wilds Triplett,Tripletta di Wild,와일드의 삼중주,NA,Triplete de Wild,Триплет Уайлда,NA,NA,NA,NA,NA,NA,NA
PGC 36733,Wild's Triplet,‎ثلاثية وايلد‎‎,狂野三重星系,Wildin kolmikko,Triplet de Wild,Wilds Triplett,Tripletta di Wild,와일드의 삼중주,NA,Triplete de Wild,Триплет Уайлда,NA,NA,NA,NA,NA,NA,NA
PGC 36742,Wild's Triplet,‎ثلاثية وايلد‎‎,狂野三重星系,Wildin kolmikko,Triplet de Wild,Wilds Triplett,Tripletta di Wild,와일드의 삼중주,NA,Triplete de Wild,Триплет Уайлда,NA,NA,NA,NA,NA,NA,NA
PGC 40012,Syphon,‎السيفون‎,虹吸管,NA,Le Syphon,NA,Sifone,사이펀,NA,Sifón,Сифон,NA,NA,NA,NA,NA,NA,NA
PGC 41578,Reinmuth 80,‎رينمث_80‎,雷睦斯80,NA,NA,NA,NA,라인무트 80,NA,NA,Рейнмут 80,NA,NA,NA,NA,NA,NA,NA
PGC 41861,Holmberg VII,‎‎هولمبرج 7‎‎,霍姆伯格,NA,NA,NA,NA,홈버그 VII,NA,NA,Холмберг VII,NA,NA,NA,NA,NA,NA,NA
PGC 42102,Malin 1,‎مالين 1‎,马琳1,NA,NA,NA,NA,말린 1,NA,NA,Малин 1,NA,NA,NA,NA,NA,NA,NA
PGC 43345,Shapley-Ames 3,‎شابلي أيمس 3‎,夏普利-艾姆斯3,Shapley–Ames 3,NA,NA,NA,셰이프리-에임스 3,NA,NA,Шепли-Эймс 3,NA,NA,NA,NA,NA,NA,NA
PGC 44014,Shapley-Ames 4,‎شابلي أيمز 4‎,夏普利-艾姆斯4,Shapley–Ames 4,NA,NA,NA,셰이프리-에임스 4,NA,NA,Шепли-Эймс 4,NA,NA,NA,NA,NA,NA,NA
PGC 44491,Imprint of a Foot Galaxy,‎مجرة أثر القدم‎,脚印星系,NA,Galaxie de l'Empreinte de pied,Fußabdruck-Galaxie,Galassia Impronta di Piede,발자국 은하,NA,Galaxia Impresión de un Pie,Галактика Отпечаток ступни,NA,NA,NA,NA,NA,NA,NA
PGC 45901,Hardcastle's Galaxy,‎مجرة هاردكاسل‎,哈德卡斯特星系,Hardcastlen galaksi,Galaxie de Hardcastle,Hardcastles Galaxie,Galassia di Hardcastle,하드캐슬 은하,NA,Galaxia de Hardcastle,Галактика Хардкасла,NA,NA,NA,NA,NA,NA,NA
PGC 45927,Holmberg VIII,‎‎هولمبرج 8‎‎,霍姆伯格,NA,NA,NA,NA,홈버그 VIII,NA,NA,Холмберг VIII,NA,NA,NA,NA,NA,NA,NA
PGC 47847,Fourcade-Figueroa Object,‎جرم فوركيد-فيجروا‎,佛洛卡德-菲格罗亚天体,NA,Objet de Fourcade-Figueroa,Fourcade-Figueroa-Objekt,Oggetto Fourcade-Figueroa,푸르카드-피게로아 천체,NA,Objeto Fourcade-Figueroa,Объект Фуркада-Фигеро,NA,NA,NA,NA,NA,NA,NA
