id,name,en,pinyin,desig,rank,display_ra,display_dec,display_scale
100,瓠瓜,Good Gourd,Hu Gua,瓠瓜,3,-49.7541,15.3597,2.8
101,华盖,Canopy of the Emperor,Hua Gai,华盖,3,23.332,70.5415,11.3
102,宦者,Eunuch Official,Huan Zhe,宦者,3,-103.0507,12.3386,3.5
103,火鸟,Firebird,Huo Niao,火鸟,3,-352.3329,-43.3109,11
104,积尸(鬼宿),Cumulative Corpses,Ji Shi(Gui Xiu),积尸(鬼宿),3,130.4587,19.8742,0
105,积尸(胃宿),Heap of Corpses,Ji Shi(Wei Xiu),积尸(胃宿),3,44.6903,39.6627,0
106,积水(胃宿),Stored water,Ji Shui(Wei Xiu),积水(胃宿),3,61.646,50.3513,0
107,积薪,Pile of Firewood,Ji Xin,积薪,3,116.1119,24.398,0
108,积卒,Group of Soldiers,Ji Zu,积卒,3,-119.1607,-37.5995,1.6
109,夹白,White Patches Attached,Jia Bai,夹白,3,71.0228,-64.8296,14.8
110,建,Establishment,Jian,建,3,-72.5679,-18.8482,6
111,渐台,Clepsydra Terrace,Jian Tai,渐台,3,-75.3273,34.7941,4.3
112,键闭,Door Bolt,Jian Bi,键闭,3,-117.0011,-19.4607,0
113,金鱼,Goldfish,Jin Yu,金鱼,3,78.0955,-60.165,28.2
114,进贤,Recommending Virtuous Men,Jin Xian,进贤,3,-165.0853,-3.8119,0
115,积水(井宿),Accumulated Water,Ji Shui(Jin Xiu),积水(井宿),3,110.5109,36.7606,0
116,九坎,Nine Water Wells,Jiu Kan,九坎,3,-41.9429,-40.2694,0
117,九卿,Nine Senior Officers,Jiu Qing,九卿,3,-169.6569,8.9545,2.6
118,九斿,Imperial Military Flag,Jiu Liu,九斿,3,72.4972,-10.8984,23.8
119,九州殊口,Interpreters of Nine Dialects,Jiu Zhou Shu Kou,九州殊口,3,66.9943,-6.8044,8.1
120,酒旗,Banner of Wine Shop,Jiu Qi,酒旗,3,144.0236,11.5392,5
121,臼,Mortar,Jiu,臼,3,-29.3168,27.0439,9.3
122,卷舌,Rolled Tongue,Juan She,卷舌,3,57.6679,37.231,10.7
123,军井,Military Well,Jun Jing,军井,3,79.0353,-12.523,1.9
124,军南门,Southern Military Gate,Jun Nan Men,军南门,3,17.3755,47.2418,0
125,军市,Market for Soldiers,Jun Shi,军市,3,99.7182,-21.0701,8.1
126,糠,Chaff,Kang,糠,3,-98.1614,-29.867,0
127,亢池,Boats and Lake,Kang Chi,亢池,3,-146.1904,14.6332,3.3
128,孔雀,Peafowl,Kong Que,孔雀,3,-65.9779,-64.8228,55.2
129,哭,Crying,Ku,哭,3,-29.5099,-12.5584,4.3
130,库楼,Arsenal,Ku Lou,库楼,3,-157.517,-42.3407,32.8
131,郎将,Captain of the Bodyguards,Lang Jiang,郎将,3,-167.0753,27.5407,0
132,郎位,Officers of the Imperial Guard,Lang Wei,郎位,3,-174.5751,24.4053,8.7
133,老人,Old Man,Lao Ren,老人,3,95.988,-52.6957,0
134,雷电,Thunder and Lightning,Lei Dian,雷电,3,-13.6729,11.085,11.9
135,垒壁阵,Line of Ramparts,Lei Bi Zhen,垒壁阵,3,-17.198000000000008,-11.2467,16.4
136,离宫(附官),Resting Palace (Vassal of Encampment),Li Gong,离宫(附官),3,-14.1079,26.8127,10.9
137,离瑜,Jade Ornament on Ladies' Wear,Li Yu,离瑜,3,-39.125,-31.7055,2.8
138,离珠,Pearls on Ladies' Wear,Li Zhu,离珠,3,-51.3669,-1.1995,3.4
139,砺石,Whetstone,Li Shi,砺石,3,63.6988,27.3153,3.9
140,列肆,Jewel Market,Lie Si,列肆,3,-113.3768,1.5065,2.2
141,灵台,Astronomical Observatory,Ling Tai,灵台,3,165.6973,5.4768,3.7
142,六甲,Six Jia,Liu Jia,六甲,3,98.1412,79.6945,46.1
143,罗堰,Network of Dykes,Luo Yan,罗堰,3,-49.3202,-18.2344,6.6
144,马腹,Horse's Abdomen,Ma Fu,马腹,3,-154.4213,-58.0868,10.8
145,马尾,Horse's Tail,Ma Wei,马尾,3,-175.639,-51.5454,4.5
146,蜜蜂,Bee,Mi Feng,蜜蜂,3,-168.1577,-70.1205,7.5
147,明堂,The Hall of Glory,Ming Tang,明堂,3,173.1108,-0.0736,5.9
148,南船,Southern Boat,Nan Chuan,南船,3,149.5196,-65.6851,22.4
149,南河,South River,Nan He,南河,3,113.1188,7.2506,4.1
151,南门,Southern Gate,Nan Men,南门,3,-147.563,-57.1502,14.9
152,内厨,Inner Kitchen,Nei Chu,内厨,3,-167.1189,66.1144,2
153,内阶,Inner Steps,Nei Jie,内阶,3,135.2241,60.6726,15.3
154,内平,High Judge,Nei Ping,内平,3,149.7273,33.3564,8.1
155,内屏,Inner Screen,Nei Ping,内屏,3,178.8116,7.6312,5
156,辇道,Imperial Passageway,Nian Dao,辇道,3,-69.7798,38.8369,12.8
