id,name,desig,en,pinyin
26224,伐增二,θ1 Ori,Send Armed Forces To Suppress Added II,Fá zēng II
26235,伐二,θ2 Ori,Send Armed Forces To Suppress II,Fá II
26237,伐一,c Ori,Send Armed Forces To Suppress I,Fá I
26241,伐三,ι Ori,Send Armed Forces To Suppress III,Fá III
26248,诸王增三,121 Tau,Feudal Kings Added III,Zhūwáng zēng III
26268,伐增一,45 Ori,Send Armed Forces To Suppress Added I,Fá zēng I
26311,参宿二,ε Ori,Three Stars II,Shēnxiù II
26366,觜宿三,φ2 Ori,Turtle Beak III,Zīxiù III
26408,八谷增十五,19 Cam,Eight Kinds of Crops Added XV,Bāgǔ zēng XV
26451,天关,ζ Tau,Celestial Pass,Tiānguān
26536,柱八[毕宿],26 Aur,Pillars VIII (In Net Mansion),Zhù VIII
26549,参宿增一,σ Ori,Three Stars Added I,Shēnxiù zēng I
26563,参宿增卅五,d Ori,Three Stars Added XXXV,Shēnxiù zēng XXXV
26594,参宿增十五,ω Ori,Three Stars Added XV,Shēnxiù zēng XV
26634,丈人一,α Col,Grandfather I,Zhàngrén I
26640,诸王二,125 Tau,Feudal Kings II,Zhūwáng II
26700,八谷增十六,HD37136,Eight Kinds of Crops Added XVI,Bāgǔ zēng XVI
26727,参宿一,ζ Ori,Three Stars I,Shēnxiù I
26777,天关增二,126 Tau,Celestial Pass Added II,Tiānguān zēng II
26865,厕增八,12 Lep,Toilet Added VIII,Cè zēng VIII
26885,参宿增十六,b Ori,Three Stars Added XVI,Shēnxiù zēng XVI
26925,天关增六,HD37940,Celestial Pass Added VI,Tiānguān zēng VI
26942,八谷增九,24 Cam,Eight Kinds of Crops Added IX,Bāgǔ zēng IX
27046,八谷增十七,23 Cam,Eight Kinds of Crops Added XVII,Bāgǔ zēng XVII
27072,厕三,γ Lep,Toilet III,Cè III
27100,金鱼四,δ Dor,Goldfish IV,Jīnyú IV
27106,天关增三,HD38219,Celestial Pass Added III,Tiānguān zēng III
27196,五车增十七,ο Aur,Five Chariots Added XVII,Wǔchē zēng XVII
27204,屎,μ Col,Excrement,Shǐ
27249,八谷三,26 Cam,Eight Kinds of Crops III,Bāgǔ III
27265,天关增四,129 Tau,Celestial Pass Added IV,Tiānguān zēng IV
27283,八谷增八,28 Cam,Eight Kinds of Crops Added VIII,Bāgǔ zēng VIII
27288,厕增七,ζ Lep,Toilet Added VII,Cè zēng VII
27316,水府增二,131 Tau,Official for Irrigation Added II,Shuǐfǔ zēng II
27321,老人增四,β Pic,Old Man Added IV,Lǎorén zēng IV
27338,天关增五,130 Tau,Celestial Pass Added V,Tiānguān zēng V
27364,水府增一,133 Tau,Official for Irrigation Added I,Shuǐfǔ zēng I
27366,参宿六,κ Ori,Three Stars VI,Shēnxiù VI
27386,参宿增十七,52 Ori,Three Stars Added XVII,Shēnxiù zēng XVII
27468,诸王增四,132 Tau,Feudal Kings Added IV,Zhūwáng zēng IV
27483,柱六[毕宿],τ Aur,Pillars VI (In Net Mansion),Zhù VI
27581,水府增三,135 Tau,Official for Irrigation Added III,Shuǐfǔ zēng III
27592,八谷增七,29 Cam,Eight Kinds of Crops Added VII,Bāgǔ zēng VII
27628,子二,β Col,Son II,Zǐ II
27639,柱四[毕宿],υ Aur,Pillars IV (In Net Mansion),Zhù IV
27654,厕四,δ Lep,Toilet IV,Cè IV
27658,参宿增卅四,55 Ori,Three Stars Added XXXIV,Shēnxiù zēng XXXIV
27673,柱五[毕宿],ν Aur,Pillars V (In Net Mansion),Zhù V
27731,八谷增十八,30 Cam,Eight Kinds of Crops Added XVIII,Bāgǔ zēng XVIII
27743,水府增五,137 Tau,Official for Irrigation Added V,Shuǐfǔ zēng V
27750,参宿增廿二,56 Ori,Three Stars Added XXII,Shēnxiù zēng XXII
27810,子一,λ Col,Son I,Zǐ I
27830,诸王一,136 Tau,Feudal Kings I,Zhūwáng I
27913,司怪四,χ1 Ori,Deity in Charge of Monsters IV,Sīguài IV
27949,八谷增六,ξ Aur,Eight Kinds of Crops Added VI,Bāgǔ zēng VI
27965,司怪增三,57 Ori,Deity in Charge of Monsters Added III,Sīguài zēng III
27971,八谷八,31 Cam,Eight Kinds of Crops VIII,Bāgǔ VIII
27989,参宿四,α Ori,Three Stars IV,Shēnxiù IV
28103,厕增六,η Lep,Toilet Added VI,Cè zēng VI
28199,子增一,γ Col,Son Added I,Zǐ zēng I
28237,司怪一,139 Tau,Deity in Charge of Monsters I,Sīguài I
28271,参宿增廿一,59 Ori,Three Stars Added XXI,Shēnxiù zēng XXI
28321,参宿增卅三,1 Mon,Three Stars Added XXXIII,Shēnxiù zēng XXXIII
28325,参宿增卅二,2 Mon,Three Stars Added XXXII,Shēnxiù zēng XXXII
28328,老人增三,η Col,Old Man Added III,Lǎorén zēng III
28358,八谷一,δ Aur,Eight Kinds of Crops I,Bāgǔ I
28360,五车三,β Aur,Five Chariots III,Wǔchē III
28380,五车四,θ Aur,Five Chariots IV,Wǔchē IV
28385,八谷增五,HD40062,Eight Kinds of Crops Added V,Bāgǔ zēng V
28404,五车增十六,π Aur,Five Chariots Added XVI,Wǔchē zēng XVI
28413,参宿增廿三,HD40657,Three Stars Added XXIII,Shēnxiù zēng XXIII
28455,司怪增一,HIP28455,Deity in Charge of Monsters Added I,Sīguài zēng I
28499,五车增十五,36 Aur,Five Chariots Added XV,Wǔchē zēng XV
28561,司怪增二,141 Tau,Deity in Charge of Monsters Added II,Sīguài zēng II
28574,参宿增卅一,3 Mon,Three Stars Added XXXI,Shēnxiù zēng XXXI
28614,参宿增十八,μ Ori,Three Stars Added XVIII,Shēnxiù zēng XVIII
28677,五车增十,38 Aur,Five Chariots Added X,Wǔchē zēng X
28691,司怪增四,64 Ori,Deity in Charge of Monsters Added IV,Sīguài zēng IV
28716,司怪三,χ2 Ori,Deity in Charge of Monsters III,Sīguài III
28734,司怪二,1 Gem,Deity in Charge of Monsters II,Sīguài II
28812,参宿增十九,63 Ori,Three Stars Added XIX,Shēnxiù zēng XIX
28814,参宿增廿,66 Ori,Three Stars Added XX,Shēnxiù zēng XX
28816,厕增四,17 Lep,Toilet Added IV,Cè zēng IV
28823,五车增十一,39 Aur,Five Chariots Added XI,Wǔchē zēng XI
28910,厕增五,θ Lep,Toilet Added V,Cè zēng V
28946,五车增九,40 Aur,Five Chariots Added IX,Wǔchē zēng IX
29034,孙二,θ Col,Grandson II,Sūn II
29038,水府一,ν Ori,Official for Irrigation I,Shuǐfǔ I
29048,厕增三,19 Lep,Toilet Added III,Cè zēng III
29118,参宿增卅,HD42116,Three Stars Added XXX,Shēnxiù zēng XXX
29134,金鱼五,ν Dor,Goldfish V,Jīnyú V
29246,八谷增十九,37 Cam,Eight Kinds of Crops Added XIX,Bāgǔ zēng XIX
29388,五车增十四,41 Aur,Five Chariots Added XIV,Wǔchē zēng XIV
29426,水府二,ξ Ori,Official for Irrigation II,Shuǐfǔ II
29433,司怪增五,68 Ori,Deity in Charge of Monsters Added V,Sīguài zēng V
29434,水府四,f1 Ori,Official for Irrigation IV,Shuǐfǔ IV
29490,上卫增一,36 Cam,The Great Imperial Guard Added I,Shàngwèi zēng I
29650,司怪增六,71 Ori,Deity in Charge of Monsters Added VI,Sīguài zēng VI
29651,参宿增廿八,γ Mon,Three Stars Added XXVIII,Shēnxiù zēng XXVIII
29655,钺,η Gem,Battle Axe,Yuè
29696,井宿增一,κ Aur,Well Added I,Jǐngxiù zēng I
29704,水府三,f2 Ori,Official for Irrigation III,Shuǐfǔ III
29730,八谷增廿,40 Cam,Eight Kinds of Crops Added XX,Bāgǔ zēng XX
29736,水府增六,73 Ori,Official for Irrigation Added VI,Shuǐfǔ zēng VI
29800,水府增七,k Ori,Official for Irrigation Added VII,Shuǐfǔ zēng VII
29807,孙一,κ Col,Grandson I,Sūn I
29840,钺增一,9 Gem,Battle Axe Added I,Yuè zēng I
29850,水府增八,l Ori,Official for Irrigation Added VIII,Shuǐfǔ zēng VIII
29884,五车增十三,42 Aur,Five Chariots Added XIII,Wǔchē zēng XIII
29885,参宿增廿九,6 Mon,Three Stars Added XXIX,Shēnxiù zēng XXIX
29919,八谷增廿一,1 Lyn,Eight Kinds of Crops Added XXI,Bāgǔ zēng XXI
29949,五车增十二,43 Aur,Five Chariots Added XII,Wǔchē zēng XII
29997,上卫增二,HD42818,The Great Imperial Guard Added II,Shàngwèi zēng II
30060,八谷增廿六,2 Lyn,Eight Kinds of Crops Added XXVI,Bāgǔ zēng XXVI
30073,参宿增廿七,7 Mon,Three Stars Added XXVII,Shēnxiù zēng XXVII
30122,孙增一,ζ CMa,Grandson Added I,Sūn zēng I
30247,八谷增卅四,45 Aur,Eight Kinds of Crops Added XXXIV,Bāgǔ zēng XXXIV
30272,八谷增廿五,4 Lyn,Eight Kinds of Crops Added XXV,Bāgǔ zēng XXV
30277,孙增四,δ Col,Grandson Added IV,Sūn zēng IV
30278,八谷增廿二,HIP30278,Eight Kinds of Crops Added XXII,Bāgǔ zēng XXII
30324,军市一,β CMa,Market for Soldiers I,Jūnshì I
30343,井宿一,μ Gem,Well I,Jǐngxiù I
30419,四渎四,ε Mon,Four Channels IV,Sìdú IV
30438,老人,α Car,Old Man,Lǎorén
30520,座旗增一,ψ1 Aur,Seat Flags Added I,Zuòqí zēng I
30679,八谷增廿七,5 Lyn,Eight Kinds of Crops Added XXVII,Bāgǔ zēng XXVII
30700,参宿增廿四,9 Mon,Three Stars Added XXIV,Shēnxiù zēng XXIV
30717,四渎增五,77 Ori,Four Channels Added V,Sìdú zēng V
30720,四渎增六,78 Ori,Four Channels Added VI,Sìdú zēng VI
30772,参宿增廿五,10 Mon,Three Stars Added XXV,Shēnxiù zēng XXV
30788,孙增二,λ CMa,Grandson Added II,Sūn zēng II
30827,井宿增二,48 Aur,Well Added II,Jǐngxiù zēng II
30867,参宿增廿六,β Mon,Three Stars Added XXVI,Shēnxiù zēng XXVI
30883,井宿二,ν Gem,Well II,Jǐngxiù II
30972,座旗增二,47 Aur,Seat Flags Added II,Zuòqí zēng II
31039,八谷增廿八,6 Lyn,Eight Kinds of Crops Added XXVIII,Bāgǔ zēng XXVIII
31125,军市六,ξ1 CMa,Market for Soldiers VI,Jūnshì VI
31149,四渎增七,HIP31149,Four Channels Added VII,Sìdú zēng VII
31159,四渎增三,12 Mon,Four Channels Added III,Sìdú zēng III
31216,四渎三,13 Mon,Four Channels III,Sìdú III
31385,四渎增八,14 Mon,Four Channels Added VIII,Sìdú zēng VIII
31404,井宿增九,HIP31404,Well Added IX,Jǐngxiù zēng IX
31416,军市增二,ξ2 CMa,Market for Soldiers Added II,Jūnshì zēng II
31434,井宿增六,49 Aur,Well Added VI,Jǐngxiù zēng VI
31525,井宿增八,23 Gem,Well Added VIII,Jǐngxiù zēng VIII
31526,八谷增卅三,HD46318,Eight Kinds of Crops Added XXXIII,Bāgǔ zēng XXXIII
31564,军市增一,ν1 CMa,Market for Soldiers Added I,Jūnshì zēng I
31592,野鸡,ν2 CMa,Wild Cockerel,Yějī
31665,八谷增卅二,11 Lyn,Eight Kinds of Crops Added XXXII,Bāgǔ zēng XXXII
31676,八谷增廿三,8 Lyn,Eight Kinds of Crops Added XXIII,Bāgǔ zēng XXIII
31681,井宿三,γ Gem,Well III,Jǐngxiù III
31685,老人增二,ν Pup,Old Man Added II,Lǎorén zēng II
31700,军市二,ν3 CMa,Market for Soldiers II,Jūnshì II
31737,井宿增三,53 Aur,Well Added III,Jǐngxiù zēng III
31763,八谷增廿四,HD46635,Eight Kinds of Crops Added XXIV,Bāgǔ zēng XXIV
31771,座旗八,51 Aur,Seat Flags VIII,Zuòqí VIII
31789,座旗七,ψ3 Aur,Seat Flags VII,Zuòqí VII
31832,座旗五,ψ2 Aur,Seat Flags V,Zuòqí V
31852,井宿增五,54 Aur,Well Added V,Jǐngxiù zēng V
31978,四渎增一,15 Mon,Four Channels Added I,Sìdú zēng I
32104,井宿增七,26 Gem,Well Added VII,Jǐngxiù zēng VII
32173,座旗三,ψ4 Aur,Seat Flags III,Zuòqí III
32246,井宿五,ε Gem,Well V,Jǐngxiù V
32249,井宿增十八,30 Gem,Well Added XVIII,Jǐngxiù zēng XVIII
32292,弧矢增一,10 CMa,Bow and Arrow Added I,Húshǐ zēng I
32311,井宿增四,28 Gem,Well Added IV,Jǐngxiù zēng IV
32349,天狼,α CMa,Celestial Wolf,Tiānláng
32362,井宿增十九,ξ Gem,Well Added XIX,Jǐngxiù zēng XIX
32404,井宿增十一,32 Gem,Well Added XI,Jǐngxiù zēng XI
32439,六甲一,HD46588,Six Jia I,Liùjiǎ I
32463,四渎增二,16 Mon,Four Channels Added II,Sìdú zēng II
32480,座旗四,ψ5 Aur,Seat Flags IV,Zuòqí IV
32489,八谷增卅一,13 Lyn,Eight Kinds of Crops Added XXXI,Bāgǔ zēng XXXI
32492,天狼增一,11 CMa,Celestial Wolf Added I,Tiānláng zēng I
32504,军市增三,12 CMa,Market for Soldiers Added III,Jūnshì zēng III
32533,四渎二,17 Mon,Four Channels II,Sìdú II
32562,座旗一,ψ6 Aur,Seat Flags I,Zuòqí I
32578,阙丘一,18 Mon,Palace Gate I,Quèqiū I
32607,金鱼增一,α Pic,Goldfish Added I,Jīnyú zēng I
32759,弧矢八,κ CMa,Bow and Arrow VIII,Húshǐ VIII
32768,老人增一,τ Pup,Old Man Added I,Lǎorén zēng I
32814,井宿增十二,35 Gem,Well Added XII,Jǐngxiù zēng XII
32844,座旗六,ψ7 Aur,Seat Flags VI,Zuòqí VI
32864,上卫增三,42 Cam,The Great Imperial Guard Added III,Shàngwèi zēng III
32921,井宿六,d Gem,Well VI,Jǐngxiù VI
33018,五诸侯一[井宿],θ Gem,Five Feudal Kings I,Wǔzhūhóu I
33041,座旗九,59 Aur,Seat Flags IX,Zuòqí IX
33048,八谷增廿九,14 Lyn,Eight Kinds of Crops Added XXIX,Bāgǔ zēng XXIX
33064,座旗增三,60 Aur,Seat Flags Added III,Zuòqí zēng III
33092,军市三,15 CMa,Market for Soldiers III,Jūnshì III
33104,上卫,43 Cam,The Great Imperial Guard,Shàngwèi
33133,座旗增四,ψ8 Aur,Seat Flags Added IV,Zuòqí zēng IV
33152,军市五,ο1 CMa,Market for Soldiers V,Jūnshì V
33160,天狼增六,θ CMa,Celestial Wolf Added VI,Tiānláng zēng VI
33202,井宿增十三,e Gem,Well Added XIII,Jǐngxiù zēng XIII
33248,军市四,17 CMa,Market for Soldiers IV,Jūnshì IV
33277,天樽增一,37 Gem,Celestial Wine Cup Added I,Tiānzūn zēng I
33302,军市增七,π CMa,Market for Soldiers Added VII,Jūnshì zēng VII
33345,天狼增三,μ CMa,Celestial Wolf Added III,Tiānláng zēng III
33347,天狼增五,ι CMa,Celestial Wolf Added V,Tiānláng zēng V
33449,八谷增卅,15 Lyn,Eight Kinds of Crops Added XXX,Bāgǔ zēng XXX
33485,座旗二,16 Lyn,Seat Flags II,Zuòqí II
33579,弧矢七,ε CMa,Bow and Arrow VII,Húshǐ VII
33614,座旗增五,62 Aur,Seat Flags Added V,Zuòqí zēng V
33650,天樽增二,40 Gem,Celestial Wine Cup Added II,Tiānzūn zēng II
33694,六甲二,HD49878,Six Jia II,Liùjiǎ II
33715,井宿增十四,41 Gem,Well Added XIV,Jǐngxiù zēng XIV
33856,弧矢增二,σ CMa,Bow and Arrow Added II,Húshǐ zēng II
33927,天樽三,ω Gem,Celestial Wine Cup III,Tiānzūn III
33971,阙丘增四,19 Mon,Palace Gate Added IV,Quèqiū zēng IV
33977,军市增五,ο2 CMa,Market for Soldiers Added V,Jūnshì zēng V
34033,四渎一,HD52960,Four Channels I,Sìdú I
34045,天狼增四,γ CMa,Celestial Wolf Added IV,Tiānláng zēng IV
34088,井宿七,ζ Gem,Well VII,Jǐngxiù VII
34182,天樽增六,44 Gem,Celestial Wine Cup Added VI,Tiānzūn zēng VI
34360,弧矢增廿五,FV CMa,Bow and Arrow Added XXV,Húshǐ zēng XXV
34440,井宿增十五,45 Gem,Well Added XV,Jǐngxiù zēng XV
34444,弧矢一,δ CMa,Bow and Arrow I,Húshǐ I
34481,飞鱼二,γ2 Vol,Flying Fish II,Fēiyú II
34579,弧矢增廿六,LZ CMa,Bow and Arrow Added XXVI,Húshǐ zēng XXVI
34622,阙丘增五,20 Mon,Palace Gate Added V,Quèqiū zēng V
34693,五诸侯增六[井宿],τ Gem,Five Feudal Kings Added VI,Wǔzhūhóu zēng VI
34722,天樽增三,47 Gem,Celestial Wine Cup Added III,Tiānzūn zēng III
34724,阙丘二,21 Mon,Palace Gate II,Quèqiū II
34752,座旗增六,63 Aur,Seat Flags Added VI,Zuòqí zēng VI
34769,阙丘增三,δ Mon,Palace Gate Added III,Quèqiū zēng III
34798,弧矢增五,26 CMa,Bow and Arrow Added V,Húshǐ zēng V
34819,天樽增五,48 Gem,Celestial Wine Cup Added V,Tiānzūn zēng V
34858,井宿增十六,HIP34858,Well Added XVI,Jǐngxiù zēng XVI
34904,阙丘增二,HD55533,Palace Gate Added II,Quèqiū zēng II
34909,井宿增十七,51 Gem,Well Added XVII,Jǐngxiù zēng XVII
34981,弧矢增四,27 CMa,Bow and Arrow Added IV,Húshǐ zēng IV
35025,天樽增四,52 Gem,Celestial Wine Cup Added IV,Tiānzūn zēng IV
35037,弧矢增三,ω CMa,Bow and Arrow Added III,Húshǐ zēng III
35080,阙丘增一,24 Mon,Palace Gate Added I,Quèqiū zēng I
35146,内阶增二,18 Lyn,Inner Steps Added II,Nèijiē zēng II
35228,飞鱼五,δ Vol,Flying Fish V,Fēiyú V
35264,弧矢九,π Pup,Bow and Arrow IX,Húshǐ IX
35341,座旗增七,64 Aur,Seat Flags Added VII,Zuòqí zēng VII
35350,井宿八,λ Gem,Well VIII,Jǐngxiù VIII
35412,弧矢增七,29 CMa,Bow and Arrow Added VII,Húshǐ zēng VII
35415,弧矢增六,τ CMa,Bow and Arrow Added VI,Húshǐ zēng VI
35550,天樽二,δ Gem,Celestial Wine Cup II,Tiānzūn II
35699,天樽增七,56 Gem,Celestial Wine Cup Added VII,Tiānzūn zēng VII
35710,积水[井宿],65 Aur,Accumulated Water,Jīshuǐ
35731,座旗增十一,HIP35731,Seat Flags Added XI,Zuòqí zēng XI
35785,内阶增一,19 Lyn,Inner Steps Added I,Nèijiē zēng I
35846,天樽一,A Gem,Celestial Wine Cup I,Tiānzūn I
35904,弧矢二,η CMa,Bow and Arrow II,Húshǐ II
35907,座旗增八,66 Aur,Seat Flags Added VIII,Zuòqí zēng VIII
35941,五诸侯增一[井宿],59 Gem,Five Feudal Kings Added I,Wǔzhūhóu zēng I
35987,水位增一,1 CMi,Water Level Added I,Shuǐwèi zēng I
36041,南河一,ε CMi,South River I,Nánhé I
36046,五诸侯三[井宿],ι Gem,Five Feudal Kings III,Wǔzhūhóu III
36145,座旗增九,21 Lyn,Seat Flags Added IX,Zuòqí zēng IX
36156,天樽增八,61 Gem,Celestial Wine Cup Added VIII,Tiānzūn zēng VIII
36188,南河二,β CMi,South River II,Nánhé II
36238,天樽增九,63 Gem,Celestial Wine Cup Added IX,Tiānzūn zēng IX
36265,南河增二,η CMi,South River Added II,Nánhé zēng II
36284,南河增一,γ CMi,South River Added I,Nánhé zēng I
36366,北河一,ρ Gem,North River I,Běihé I
36377,弧矢增廿四,σ Pup,Bow and Arrow Added XXIV,Húshǐ zēng XXIV
36393,五诸侯增二[井宿],64 Gem,Five Feudal Kings Added II,Wǔzhūhóu zēng II
36425,水位一,6 CMi,Water Level I,Shuǐwèi I
36429,五诸侯增三[井宿],b Gem,Five Feudal Kings Added III,Wǔzhūhóu zēng III
36439,座旗增十,22 Lyn,Seat Flags Added X,Zuòqí zēng X
36547,六甲四,VZ Cam,Six Jia IV,Liùjiǎ IV
36631,水位增十二,HD59764,Water Level Added XII,Shuǐwèi zēng XII
36641,南河增五,δ1 CMi,South River Added V,Nánhé zēng V
36723,南河增四,δ2 CMi,South River Added IV,Nánhé zēng IV
36760,水位增二,68 Gem,Water Level Added II,Shuǐwèi zēng II
36787,弧矢增廿八,HD60686,Bow and Arrow Added XXVIII,Húshǐ zēng XXVIII
36812,南河增三,δ3 CMi,South River Added III,Nánhé zēng III
36848,弧矢增廿七,HD60666,Bow and Arrow Added XXVII,Húshǐ zēng XXVII
36850,北河二,α Gem,North River II,Běihé II
36962,五诸侯四[井宿],υ Gem,Five Feudal Kings IV,Wǔzhūhóu IV
36982,小斗九,HD62689,Little Dipper IX,Xiǎodǒu IX
37088,阙丘增六,25 Mon,Palace Gate Added VI,Quèqiū zēng VI
37204,北河增一,70 Gem,North River Added I,Běihé zēng I
37229,弧矢六,κ1 Pup,Bow and Arrow VI,Húshǐ VI
37265,北河增二,ο Gem,North River Added II,Běihé zēng II
37279,南河三,α CMi,South River III,Nánhé III
37297,弧矢增廿,d1 Pup,Bow and Arrow Added XX,Húshǐ zēng XX
37300,水位增三,f Gem,Water Level Added III,Shuǐwèi zēng III
37391,勾陈增四,OV Cep,Curved Array Added IV,Gōuchén zēng IV
37447,阙丘增七,α Mon,Palace Gate Added VII,Quèqiū zēng VII
37504,飞鱼六,ζ Vol,Flying Fish VI,Fēiyú VI
37590,弧矢增十八,HD62412,Bow and Arrow Added XVIII,Húshǐ zēng XVIII
37609,内阶增三,24 Lyn,Inner Steps Added III,Nèijiē zēng III
37629,北河增四,σ Gem,North River Added IV,Běihé zēng IV
37677,弧矢增十九,l Pup,Bow and Arrow Added XIX,Húshǐ zēng XIX
37704,积薪增一,c Gem,Pile of Firewood Added I,Jīxīn zēng I
37740,积薪,κ Gem,Pile of Firewood,Jīxīn
37819,弧矢三,c Pup,Bow and Arrow III,Húshǐ III
37826,北河三,β Gem,North River III,Běihé III
37843,弧矢增八,2 Pup,Bow and Arrow Added VIII,Húshǐ zēng VIII
37891,弧矢增九,4 Pup,Bow and Arrow Added IX,Húshǐ zēng IX
37908,水位增四,g Gem,Water Level Added IV,Shuǐwèi zēng IV
37915,弧矢增卅,V0392 Pup,Bow and Arrow Added XXX,Húshǐ zēng XXX
37921,水位二,11 CMi,Water Level II,Shuǐwèi II
37951,弧矢增廿九,HD63112,Bow and Arrow Added XXIX,Húshǐ zēng XXIX
38016,北河增三,π Gem,North River Added III,Běihé zēng III
38048,弧矢增十,5 Pup,Bow and Arrow Added X,Húshǐ zēng X
38070,弧矢五,ο Pup,Bow and Arrow V,Húshǐ V
38106,积薪增二,82 Gem,Pile of Firewood Added II,Jīxīn zēng II
38147,水位增十,HD63352,Water Level Added X,Shuǐwèi zēng X
38170,弧矢增十七,ξ Pup,Bow and Arrow Added XVII,Húshǐ zēng XVII
38211,弧矢增十二,6 Pup,Bow and Arrow Added XII,Húshǐ zēng XII
38373,南河增六,ζ CMi,South River Added VI,Nánhé zēng VI
38414,弧矢增廿三,a Pup,Bow and Arrow Added XXIII,Húshǐ zēng XXIII
38427,弧矢增十一,10 Pup,Bow and Arrow Added XI,Húshǐ zēng XI
38455,弧矢增廿一,b Pup,Bow and Arrow Added XXI,Húshǐ zēng XXI
38495,积薪增三,HIP38495,Pile of Firewood Added III,Jīxīn zēng III
38538,五诸侯五[井宿],φ Gem,Five Feudal Kings V,Wǔzhūhóu V
38623,上台增三,25 Lyn,Upper Steps Added III,Shàngtái zēng III
38639,上台增二,26 Lyn,Upper Steps Added II,Shàngtái zēng II
38722,水位增五,85 Gem,Water Level Added V,Shuǐwèi zēng V
38827,天社增一,χ Car,Celestial Earth God's Temple Added I,Tiānshè zēng I
38835,弧矢增十五,j Pup,Bow and Arrow Added XV,Húshǐ zēng XV
38848,水位增九,1 Cnc,Water Level Added IX,Shuǐwèi zēng IX
38901,弧矢四,χ Pup,Bow and Arrow IV,Húshǐ IV
38962,南河增七,14 CMi,South River Added VII,Nánhé zēng VII
39023,弧矢增卅一,12 Pup,Bow and Arrow Added XXXI,Húshǐ zēng XXXI
39079,南河增十,27 Mon,South River Added X,Nánhé zēng X
39177,水位增七,3 Cnc,Water Level Added VII,Shuǐwèi zēng VII
39191,爟增二,ω Cnc,Beacon Fire Added II,Guàn zēng II
39211,南河增九,28 Mon,South River Added IX,Nánhé zēng IX
39236,水位增八,5 Cnc,Water Level Added VIII,Shuǐwèi zēng VIII
39263,爟增一,4 Cnc,Beacon Fire Added I,Guàn zēng I
39311,南河增八,G CMi,South River Added VIII,Nánhé zēng VIII
39424,爟增三,χ Gem,Beacon Fire Added III,Guàn zēng III
39429,弧矢增廿二,ζ Pup,Bow and Arrow Added XXII,Húshǐ zēng XXII
39524,弧矢增十四,14 Pup,Bow and Arrow Added XIV,Húshǐ zēng XIV
39538,六甲三,HD64486,Six Jia III,Liùjiǎ III
39567,水位三,8 Cnc,Water Level III,Shuǐwèi III
39757,弧矢增卅二,ρ Pup,Bow and Arrow Added XXXII,Húshǐ zēng XXXII
39780,水位增六,μ Cnc,Water Level Added VI,Shuǐwèi zēng VI
39847,上台增一,27 Lyn,Upper Steps Added I,Shàngtái zēng I
39863,外厨增一,ζ Mon,Outer Kitchen Added I,Wàichú zēng I
39874,水位增十一,12 Cnc,Water Level Added XI,Shuǐwèi zēng XI
39888,爟增四,HD67402,Beacon Fire Added IV,Guàn zēng IV
39906,弧矢增十三,16 Pup,Bow and Arrow Added XIII,Húshǐ zēng XIII
39953,天社一,γ2 Vel,Celestial Earth God's Temple I,Tiānshè I
40007,爟增五,ψ1 Cnc,Beacon Fire Added V,Guàn zēng V
40023,爟一,ψ Cnc,Beacon Fire I,Guàn I
40035,外厨增十四,18 Pup,Outer Kitchen Added XIV,Wàichú zēng XIV
40084,外厨增十六,19 Pup,Outer Kitchen Added XVI,Wàichú zēng XVI
40167,水位四,ζ1 Cnc,Water Level IV,Shuǐwèi IV
40205,外厨增十五,HIP40205,Outer Kitchen Added XV,Wàichú zēng XV
40240,爟四,15 Cnc,Beacon Fire IV,Guàn IV
40259,外厨增十三,20 Pup,Outer Kitchen Added XIII,Wàichú zēng XIII
40526,柳宿增十,β Cnc,Willow Added X,Liǔxiù zēng X
40604,外厨增十一,21 Pup,Outer Kitchen Added XI,Wàichú zēng XI
40617,柳宿增十一,HD69478,Willow Added XI,Liǔxiù zēng XI
40646,内阶增五,29 Lyn,Inner Steps Added V,Nèijiē zēng V
40702,小斗增一,α Cha,Little Dipper Added I,Xiǎodǒu zēng I
40817,飞鱼四,κ1 Vol,Flying Fish IV,Fēiyú IV
40843,爟增六,χ Cnc,Beacon Fire Added VI,Guàn zēng VI
40875,内阶增四,30 Lyn,Inner Steps Added IV,Nèijiē zēng IV
40881,爟二,λ Cnc,Beacon Fire II,Guàn II
40888,小斗八,θ Cha,Little Dipper VIII,Xiǎodǒu VIII
41037,海石一,ε Car,Sea Rock I,Hǎishí I
41067,外厨增十七,22 Pup,Outer Kitchen Added XVII,Wàichú zēng XVII
41075,上台增四,31 Lyn,Upper Steps Added IV,Shàngtái zēng IV
41117,鬼宿增二,d1 Cnc,Ghosts Added II,Guǐxiù zēng II
41163,柳宿增九,21 Cnc,Willow Added IX,Liǔxiù zēng IX
41211,外厨增二,1 Hya,Outer Kitchen Added II,Wàichú zēng II
41307,外厨增三,C Hya,Outer Kitchen Added III,Wàichú zēng III
41312,飞鱼三,β Vol,Flying Fish III,Fēiyú III
41319,鬼宿增十九,d2 Cnc,Ghosts Added XIX,Guǐxiù zēng XIX
41375,外厨一,2 Hya,Outer Kitchen I,Wàichú I
41377,爟增七,φ1 Cnc,Beacon Fire Added VII,Guàn zēng VII
41389,爟增九,24 Cnc,Beacon Fire Added IX,Guàn zēng IX
41400,鬼宿增五,27 Cnc,Ghosts Added V,Guǐxiù zēng V
41404,爟增八,φ2 Cnc,Beacon Fire Added VIII,Guàn zēng VIII
41574,爟增十,28 Cnc,Beacon Fire Added X,Guàn zēng X
