id,name,desig,en,pinyin
85242,天江增五,HD157588,Celestial River Added V,Tiānjiāng zēng V
85258,杵三[箕宿],β Ara,Pestle III (In Winnowing Basket Mansion),Chǔ III
85267,龟二,γ Ara,Tortoise II,Guī II
85340,天江四,b Oph,Celestial River IV,Tiānjiāng IV
85355,宗正增二,σ Oph,Official for the Royal Clan Added II,Zōngzhèng zēng II
85379,天棓增八,x Her,Celestial Flail Added VIII,Tiānbàng zēng VIII
85397,市楼五,HD157968,Municipal Office V,Shìlóu V
85423,糠,d Oph,Chaff,Kāng
85442,糠增一,HD157955,Chaff Added I,Kāng zēng I
85670,天棓三,β Dra,Celestial Flail III,Tiānbàng III
85693,赵,λ Her,Zhao,Zhào
85696,尾宿九,υ Sco,Tail IX,Wěixiù IX
85699,勾陈增六,24 UMi,Curved Array Added VI,Gōuchén zēng VI
85703,天籥增一,HIP85703,Celestial Keyhole Added I,Tiānyuè zēng I
85727,龟三,δ Ara,Tortoise III,Guī III
85755,天籥六,c Oph,Celestial Keyhole VI,Tiānyuè VI
85783,天籥七,HD158704,Celestial Keyhole VII,Tiānyuè VII
85790,赵增一,78 Her,Zhao Added I,Zhào zēng I
85792,杵二[箕宿],α Ara,Pestle II (In Winnowing Basket Mansion),Chǔ II
85805,尚书一,f Dra,Royal Secretary I,Shàngshū I
85819,天棓增一,ν1 Dra,Celestial Flail Added I,Tiānbàng zēng I
85822,勾陈二,δ UMi,Curved Array II,Gōuchén II
85829,天棓二,ν2 Dra,Celestial Flail II,Tiānbàng II
85852,御女三,29 Dra,Maids-in-waiting III,Yùnǚ III
85927,尾宿八,λ Sco,Tail VIII,Wěixiù VIII
85979,候增三,HD159466,Astrologer Added III,Hòu zēng III
85998,候增五,f Oph,Astrologer Added V,Hòu zēng V
86032,候,α Oph,Astrologer,Hòu
86036,天棓增十,26 Dra,Celestial Flail Added X,Tiānbàng zēng X
86041,候增四,HIP86041,Astrologer Added IV,Hòu zēng IV
86060,天籥五,52 Oph,Celestial Keyhole V,Tiānyuè V
86092,杵一[箕宿],σ Ara,Pestle I (In Winnowing Basket Mansion),Chǔ I
86170,尾宿增三,Q Sco,Tail Added III,Wěixiù zēng III
86178,天纪七,HD160054,Celestial Discipline VII,Tiānjì VII
86182,天棓增四,y Her,Celestial Flail Added IV,Tiānbàng zēng IV
86201,尚书增一,ω Dra,Royal Secretary Added I,Shàngshū zēng I
86228,尾宿五,θ Sco,Tail V,Wěixiù V
86254,赵增二,79 Her,Zhao Added II,Zhào zēng II
86263,南海,ξ Ser,Nanhai,Nánhǎi
86284,市楼一,μ Oph,Municipal Office I,Shìlóu I
86352,天籥四,HD160042,Celestial Keyhole IV,Tiānyuè IV
86414,天棓五,ι Her,Celestial Flail V,Tiānbàng V
86565,市楼二,ο Ser,Municipal Office II,Shìlóu II
86614,女史增一,ψ Dra,Female Protocol Added I,Nǚshǐ zēng I
86670,尾宿七,κ Sco,Tail VII,Wěixiù VII
86731,赵增三,84 Her,Zhao Added III,Zhào zēng III
86736,天籥三,58 Oph,Celestial Keyhole III,Tiānyuè III
86742,宗正一,β Oph,Official for the Royal Clan I,Zōngzhèng I
86768,市楼六,HD161056,Municipal Office VI,Shìlóu VI
86831,宗正增一,61 Oph,Official for the Royal Clan Added I,Zōngzhèng zēng I
86929,孔雀一,η Pav,Peafowl I,Kǒngquè I
86974,九河,μ Her,Jiuhe,Jǐuhé
87072,天籥八,3 Sgr,Celestial Keyhole VIII,Tiānyuè VIII
87073,尾宿六,ι1 Sco,Tail VI,Wěixiù VI
87099,天籥二,HD161664,Celestial Keyhole II,Tiānyuè II
87108,宗正二,γ Oph,Official for the Royal Clan II,Zōngzhèng II
87194,九河增一,87 Her,Jiuhe Added I,Jǐuhé zēng I
87212,天棓增二,30 Dra,Celestial Flail Added II,Tiānbàng zēng II
87234,天柱增六,35 Dra,Celestial Pillar Added VI,Tiānzhù zēng VI
87261,傅说,G Sco,Fu Yue,Fùyuè
87280,天棓增三,z Her,Celestial Flail Added III,Tiānbàng zēng III
87472,尾宿增四,HD162391,Tail Added IV,Wěixiù zēng IV
87563,天纪增十四,f Her,Celestial Discipline Added XIV,Tiānjì zēng XIV
87585,天棓一,ξ Dra,Celestial Flail I,Tiānbàng I
87706,天籥一,63 Oph,Celestial Keyhole I,Tiānyuè I
87728,女史,34 Dra,Female Protocol,Nǚshǐ
87808,天纪九,θ Her,Celestial Discipline IX,Tiānjì IX
87833,天棓四,γ Dra,Celestial Flail IV,Tiānbàng IV
87933,中山增一,ξ Her,Zhongshan Added I,Zhōngshān zēng I
87998,中山增二,ν Her,Zhongshan Added II,Zhōngshān zēng II
88048,燕,ν Oph,Yan,Yān
88116,天籥增二,4 Sgr,Celestial Keyhole Added II,Tiānyuè zēng II
88127,天柱五,40 Dra,Celestial Pillar V,Tiānzhù V
88128,帛度增三,93 Her,Textile Ruler Added III,Bódù zēng III
88136,天柱增五,41 Dra,Celestial Pillar Added V,Tiānzhù zēng V
88142,天籥增三,HD164031,Celestial Keyhole Added III,Tiānyuè zēng III
88149,宗人一,66 Oph,Official of Religious Ceremonies I,Zōngrén I
88175,东海增一,ζ Ser,Donghai Added I,Dōnghǎi zēng I
88192,宗人二,67 Oph,Official of Religious Ceremonies II,Zōngrén II
88258,斗宿增一,6 Sgr,Dipper Added I,Dǒuxiù zēng I
88267,帛度一,95 Her,Textile Ruler I,Bódù I
88290,宗人三,68 Oph,Official of Religious Ceremonies III,Zōngrén III
88331,帛度增一,96 Her,Textile Ruler Added I,Bódù zēng I
88346,屠肆增一,97 Her,Butcher's Shops Added I,Túsì zēng I
88380,天籥增四,7 Sgr,Celestial Keyhole Added IV,Tiānyuè zēng IV
88404,市楼三,τ Oph,Municipal Office III,Shìlóu III
88601,宗人四,p Oph,Official of Religious Ceremonies IV,Zōngrén IV
88635,箕宿一,γ2 Sgr,Winnowing Basket I,Jīxiù I
88657,屠肆二,98 Her,Butcher's Shops II,Túsì II
88714,杵增一[箕宿],θ Ara,Pestle Added I (In Winnowing Basket Mansion),Chǔ zēng I
88745,中山增三,b Her,Zhongshan Added III,Zhōngshān zēng III
88765,宗人增二,71 Oph,Official of Religious Ceremonies Added II,Zōngrén zēng II
88771,宗人增一,72 Oph,Official of Religious Ceremonies Added I,Zōngrén zēng I
88794,中山,ο Her,Zhongshan,Zhōngshān
88817,中山增七,100 Her,Zhongshan Added VII,Zhōngshān zēng VII
88866,孔雀二,π Pav,Peafowl II,Kǒngquè II
88886,帛度二,102 Her,Textile Ruler II,Bódù II
88899,帛度增二,101 Her,Textile Ruler Added II,Bódù zēng II
88964,宗人增三,73 Oph,Official of Religious Ceremonies Added III,Zōngrén zēng III
89172,中山增四,A Her,Zhongshan Added IV,Zhōngshān zēng IV
89341,斗宿三,μ Sgr,Dipper III,Dǒuxiù III
89348,扶筐增一,36 Dra,Basket for Mulberry Leaves Added I,Fúkuāng zēng I
89439,斗宿增五,15 Sgr,Dipper Added V,Dǒuxiù zēng V
89448,柱史增二,37 Dra,Official of Royal Archives Added II,Zhùshǐ zēng II
89594,柱史增一,38 Dra,Official of Royal Archives Added I,Zhùshǐ zēng I
89642,箕宿四,η Sgr,Winnowing Basket IV,Jīxiù IV
89773,屠肆增二,105 Her,Butcher's Shops Added II,Túsì zēng II
89826,织女增四,κ Lyr,Weaving Girl Added IV,Zhinǚ zēng IV
89861,屠肆增三,106 Her,Butcher's Shops Added III,Túsì zēng III
89908,柱史,φ Dra,Official of Royal Archives,Zhùshǐ
89918,宗人增四,74 Oph,Official of Religious Ceremonies Added IV,Zōngrén zēng IV
89925,中山增五,108 Her,Zhongshan Added V,Zhōngshān zēng V
89931,箕宿二,δ Sgr,Winnowing Basket II,Jīxiù II
89935,中山增六,t Her,Zhongshan Added VI,Zhōngshān zēng VI
